dist,,region,reg_prop,2020_pop,pop_pct,2025_pop,2030_pop,2035_pop,2040_pop,2045_pop,2050_pop,2055_pop,2060_pop,2065_pop,2070_pop,2075_pop,2080_pop,2085_pop,2090_pop,2095_pop,2100_pop,current_urban_pix,total_pix,gdd,2050_urbpix
Banda,"'Banda',",GREATER ACCRA,Greater Accra,25717,0.08,28352,32218,33728,37884,39192,43392,44224,48277,48600,52497,52352,56036,55360,58695,57480,60506,6460,2551760,19,
Bawku,"'Bawku',",EASTERN,Eastern,122641,0.4,141760,153642,168640,180662,195960,206929,221120,230225,243000,250352,261760,267229,276800,279907,287400,288544,13748,275198,8.5,
Bawku West,"'Bawku West',",BONO,Bono,117036,0.38,134672,146620,160208,172405,186162,197472,210064,219703,230850,238910,248672,255016,262960,267115,273030,275357,7092,1191956,,
Bekwai,"'Bekwai',",UPPER EAST,Upper East,146213,0.47,166568,183172,198152,215386,230253,246702,259816,274475,285525,298470,307568,318592,325240,333706,337695,344003,24706,594824,,
Berekum East,"'Berekum East',",UPPER EAST,Upper East,117534,0.38,134672,147244,160208,173139,186162,198312,210064,220638,230850,239927,248672,256101,262960,268251,273030,276529,22285,514285,2.1,
Berekum West,"'Berekum West',",ASHANTI,Ashanti,46565,0.15,53160,58336,63240,68595,73485,78568,82920,87413,91125,95055,98160,101463,103800,106277,107775,109556,10508,443833,3.5,
Bia East,"'Bia East',",BONO,Bono,36505,0.12,42528,45733,50592,53775,58788,61594,66336,68528,72900,74519,78528,79543,83040,83316,86220,85887,4810,869273,24.7,
Bia West,"'Bia West',",BONO,Bono,118618,0.38,134672,148602,160208,174736,186162,200141,210064,222673,230850,242139,248672,258463,262960,270725,273030,279079,12800,1427921,,
Biakoye,"'Biakoye',",WESTERN NORTH,Western North,82677,0.27,95688,103576,113832,121791,132273,139499,149256,155204,164025,168772,176688,180149,186840,188696,193995,194519,14056,1231842,,
Bibiani Anhwiaso Bekwai,"'Bibiani Anhwiaso Bekwai',",WESTERN NORTH,Western North,164652,0.53,187832,206272,223448,242548,259647,277814,292984,309090,321975,336110,346832,358769,366760,375790,380805,387386,26521,925769,2.9,
Binduri,"'Binduri',",OTI,Oti,76641,0.25,88600,96014,105400,112900,122475,129315,138200,143873,151875,156450,163600,166997,173000,174920,179625,180317,3185,436185,26.9,
Birim Central,"'Birim Central',",WESTERN NORTH,Western North,85689,0.28,99232,107349,118048,126228,137172,144581,154784,160858,170100,174920,183232,186713,193760,195571,201180,201605,12318,118291,8.1,
Birim North,"'Birim North',",UPPER EAST,Upper East,99464,0.32,113408,124606,134912,146520,156768,167823,176896,186717,194400,203040,209408,216728,221440,227010,229920,234014,15589,629982,3.8,
Birim South,"'Birim South',",EASTERN,Eastern,58672,0.19,67336,73503,80104,86430,93081,98996,105032,110141,115425,119769,124336,127844,131480,133909,136515,138041,7092,346558,10,
Bodi,"'Bodi',",EASTERN,Eastern,71133,0.23,81512,89114,96968,104786,112677,120021,127144,133533,139725,145206,150512,154996,159160,162349,165255,167359,8175,735003,9.5,
Bole,"'Bole',",EASTERN,Eastern,78010,0.25,88600,97729,105400,114916,122475,131624,138200,146443,151875,159245,163600,169980,173000,178045,179625,183538,15231,6850250,8.4,
Bolgatanga,"'Bolgatanga',",SAVANNAH,Savannah,128548,0.42,148848,161042,177072,189364,205758,216896,232176,241314,255150,262410,274848,280100,290640,293389,301770,302442,21254,359066,1.7,
Bolgatanga East,"'Bolgatanga East',",WESTERN NORTH,Western North,35168,0.11,38984,44058,46376,51806,53889,59338,60808,66018,66825,71790,71984,76630,76120,80265,79035,82742,5626,82591,18.7,
Bongo,"'Bongo',",UPPER EAST,Upper East,105206,0.34,120496,131800,143344,154979,166566,177512,187952,197496,206550,214761,222496,229239,235280,240115,244290,247524,5954,461363,12.6,
Bosome Freho,"'Bosome Freho',",UPPER EAST,Upper East,74870,0.24,85056,93796,101184,110291,117576,126326,132672,140548,145800,152835,157056,163138,166080,170878,172440,176151,9784,632272,11.9,
Bosomtwe,"'Bosomtwe',",UPPER EAST,Upper East,116360,0.38,134672,145773,160208,171410,186162,196332,210064,218434,230850,237530,248672,253543,262960,265572,273030,273767,30973,469562,,
Builsa North,"'Builsa North',",ASHANTI,Ashanti,70321,0.23,81512,88097,96968,103590,112677,118651,127144,132009,139725,143549,150512,153226,159160,160496,165255,165448,4040,907656,11.3,
Builsa South,"'Builsa South',",ASHANTI,Ashanti,45469,0.15,53160,56963,63240,66980,73485,76719,82920,85356,91125,92818,98160,99075,103800,103775,107775,106977,1539,1380019,57.4,
Bunkpurugu Nakpanduri,"'Bunkpurugu Nakpanduri',",UPPER EAST,Upper East,88365,0.29,102776,110702,122264,130170,142071,149096,160312,165881,176175,180383,189776,192543,200680,201678,208365,207901,5916,600177,,
Cape Coast Metro,"'Cape Coast Metro',",UPPER EAST,Upper East,201168,0.65,230360,252019,274040,296340,318435,339426,359320,377638,394875,410652,425360,438336,449800,459132,467025,473299,35096,136056,,
Central Gonja,"'Central Gonja',",NORTH EAST,North East,111318,0.36,127584,139457,151776,163982,176364,187824,199008,208969,218700,227238,235584,242557,249120,254064,258660,261904,16017,8398998,4.7,
Central Tongu,"'Central Tongu',",CENTRAL,Central,74908,0.24,85056,93843,101184,110347,117576,126391,132672,140619,145800,152912,157056,163221,166080,170965,172440,176240,17036,760144,4,
Chereponi,"'Chereponi',",SAVANNAH,Savannah,67609,0.22,77968,84699,92752,99595,107778,114075,121616,126918,133650,138013,143968,147317,152240,154306,158070,159067,4918,1531046,8.3,
Daffiama Bussie Issa,"'Daffiama Bussie Issa',",VOLTA,Volta,40606,0.13,46072,50870,54808,59817,63687,68514,71864,76227,78975,82891,85072,88479,89960,92676,93405,95536,7979,1616801,,
Denkyembuor,"'Denkyembuor',",NORTHERN,Northern,99374,0.32,113408,124494,134912,146387,156768,167671,176896,186548,194400,202856,209408,216532,221440,226804,229920,233803,15047,485245,,
Dormaa Central,"'Dormaa Central',",UPPER WEST,Upper West,141999,0.46,163024,177893,193936,209178,225354,239592,254288,266565,279450,289868,301024,309409,318320,324089,330510,334089,29679,1342921,2.2,
Dormaa East,"'Dormaa East',",EASTERN,Eastern,64421,0.21,74424,80705,88536,94898,102879,108696,116088,120933,127575,131505,137424,140370,145320,147030,150885,151567,11807,632714,5.1,
Dormaa West (Nkran Nkwanta),"'Dormaa West (Nkran Nkwanta)',",BONO,Bono,60467,0.2,70880,75752,84320,89074,97980,102025,110560,113510,121500,123434,130880,131755,138400,138006,143700,142264,6267,422696,,
